date,open,high,low,close
2019-11-08,13248.620,13278.180,13195.830,13228.560
2019-11-07,13258.260,13300.760,13227.370,13289.460
2019-11-06,13150.940,13187.660,13110.910,13179.890
2019-11-05,13134.330,13166.080,13112.650,13148.500
2019-11-04,13022.950,13171.170,13019.180,13136.280
2019-11-01,12912.090,12992.070,12896.720,12961.050
2019-10-31,12937.590,12953.340,12795.090,12866.790
2019-10-30,12929.420,12944.260,12830.330,12910.230
2019-10-29,12946.340,12951.880,12897.340,12939.620
2019-10-28,12897.400,12986.490,12892.840,12941.710
2019-10-25,12886.420,12895.850,12834.000,12894.510
2019-10-24,12860.630,12914.240,12820.670,12872.100
2019-10-23,12702.920,12819.220,12699.850,12798.190
2019-10-22,12757.730,12791.310,12730.700,12754.690
2019-10-21,12661.930,12787.350,12646.280,12747.960
2019-10-18,12637.010,12700.380,12603.170,12633.600
2019-10-17,12655.320,12814.490,12647.860,12654.950
2019-10-16,12644.180,12698.370,12603.830,12670.110
2019-10-15,12565.680,12682.400,12511.900,12629.790
2019-10-14,12468.780,12495.240,12387.950,12486.560
2019-10-11,12248.880,12511.650,12240.940,12511.650
2019-10-10,12082.890,12202.710,12029.460,12164.200
2019-10-09,11973.820,12165.530,11953.120,12094.260
2019-10-08,12097.890,12097.940,11933.020,11970.200
2019-10-07,12008.770,12105.090,11969.320,12097.430
2019-10-04,11958.310,12012.910,11878.980,12012.810
2019-10-02,12221.740,12226.860,11925.250,11925.250
2019-10-01,12469.670,12497.280,12263.830,12263.830
2019-09-30,12367.810,12441.030,12346.940,12428.080
2019-09-27,12327.790,12404.470,12324.710,12380.940
2019-09-26,12227.770,12313.150,12223.290,12288.540
2019-09-25,12250.080,12261.060,12141.820,12234.180
2019-09-24,12368.960,12375.310,12307.150,12307.150
2019-09-23,12432.300,12441.020,12264.140,12342.330
2019-09-20,12462.570,12490.840,12418.500,12468.010
2019-09-19,12355.920,12466.780,12354.830,12457.700
2019-09-18,12361.230,12416.050,12354.490,12389.620
2019-09-17,12370.960,12392.970,12303.510,12372.610
2019-09-16,12387.680,12421.250,12362.980,12380.310
2019-09-13,12412.720,12494.250,12408.930,12468.530
2019-09-12,12399.400,12471.830,12311.810,12410.250
2019-09-11,12341.840,12394.280,12317.610,12359.070
2019-09-10,12210.880,12292.140,12179.880,12268.710
2019-09-09,12210.870,12245.110,12189.600,12226.100
2019-09-06,12146.000,12205.100,12131.290,12191.730
2019-09-05,12117.900,12151.310,12084.170,12126.780
2019-09-04,12043.960,12078.400,11999.830,12025.040
2019-09-03,11921.940,11956.690,11869.280,11910.860
2019-09-02,11939.990,11994.110,11929.910,11953.780
2019-08-30,11850.300,11989.440,11845.160,11939.280
2019-08-29,11686.840,11853.910,11661.730,11838.880
2019-08-28,11704.670,11717.790,11573.640,11701.020
2019-08-27,11638.510,11778.620,11616.090,11730.020
2019-08-26,11619.660,11696.780,11551.990,11658.040
2019-08-23,11805.480,11823.120,11611.510,11611.510
2019-08-22,11756.210,11853.140,11715.260,11747.040
2019-08-21,11673.660,11824.660,11673.370,11802.850
2019-08-20,11711.780,11764.930,11618.930,11651.180
2019-08-19,11679.720,11759.000,11625.670,11715.370
2019-08-16,11460.650,11578.840,11447.340,11562.740
2019-08-15,11522.460,11530.010,11266.480,11412.670
2019-08-14,11758.750,11759.570,11459.370,11492.660
2019-08-13,11632.850,11835.880,11539.630,11750.130
2019-08-12,11801.060,11836.970,11647.010,11679.680
2019-08-09,11806.820,11865.630,11674.110,11693.800
2019-08-08,11752.960,11845.410,11683.990,11845.410
2019-08-07,11636.340,11747.740,11559.760,11650.150
2019-08-06,11690.270,11748.830,11567.960,11567.960
2019-08-05,11758.440,11797.520,11628.570,11658.510
2019-08-02,12033.680,12034.910,11836.750,11872.440
2019-08-01,12134.710,12254.030,12129.330,12253.150
2019-07-31,12149.090,12226.490,12139.030,12189.040
2019-07-30,12398.240,12404.510,12115.280,12147.240
2019-07-29,12398.290,12473.970,12387.580,12417.470
2019-07-26,12363.860,12428.050,12356.150,12419.900
2019-07-25,12576.020,12599.930,12299.100,12362.100
2019-07-24,12510.520,12550.340,12476.550,12522.890
2019-07-23,12384.660,12531.160,12369.190,12490.740
2019-07-22,12243.580,12346.020,12236.700,12289.400
2019-07-19,12302.640,12340.110,12211.670,12260.070
2019-07-18,12194.330,12296.300,12172.590,12227.850
2019-07-17,12429.870,12453.330,12324.330,12341.030
2019-07-16,12392.190,12465.190,12366.970,12430.970
2019-07-15,12346.590,12434.140,12301.080,12387.340
2019-07-12,12318.500,12354.870,12304.980,12323.320
2019-07-11,12401.020,12417.930,12307.340,12332.120
2019-07-10,12412.990,12448.810,12356.800,12373.410
2019-07-09,12436.970,12477.580,12364.160,12436.550
2019-07-08,12541.180,12587.440,12507.720,12543.510
